"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","冒烟测试","密码输入纯英文","0","0","1","0","0"
"","冒烟测试","修改","0","0","1","0","0"
"","冒烟测试","新增","0","0","1","0","0"
"","冒烟测试","密码输入纯数字","0","0","1","0","0"
"","冒烟测试","停用","0","0","2","0","0"
"","冒烟测试","登录","0","0","1","0","0"
"","冒烟测试","删除","0","0","1","0","0"
"","冒烟测试","资料必填项不填不能保存","0","0","1","0","0"
"","冒烟测试","搜索","0","0","1","0","0"
